nat_abbr,station_id,name,latitude,longitude,elevation
ABO,63,Adelboden,46.491734,7.560692,1322.0
AIG,37,Aigle,46.326641,6.924414,381.0
ALT,44,Altdorf,46.887043,8.621805,438.0
AND,405,Andeer,46.610111,9.431925,987.0
ANT,10,Andermatt,46.630856,8.580525,1435.0
ARH,359,Altenrhein,47.483665,9.566803,398.0
ARO,1,Arosa,46.792599,9.67903,1878.0
ATT,864,Les Attelas,46.09911,7.268653,2735.0
BAS,75,Basel / Binningen,47.541065,7.583556,316.0
BEH,23,Passo del Bernina,46.409157,10.019567,2260.0
BER,78,Bern / Zollikofen,46.990746,7.463997,553.0
BEZ,85,Beznau,47.557232,8.23327,326.0
BIA,415,Biasca,46.336052,8.978197,278.0
BIE,849,Bière,46.524895,6.342372,684.0
BIN,131,Binn,46.367661,8.192306,1479.0
BIV,409,Bivio,46.462452,9.668609,1856.0
BIZ,666,Bischofszell / Sitterdorf,47.508801,9.266891,507.0
BLA,20,"Blatten, Lötschental",46.42226,7.825914,1548.0
BOL,731,Boltigen,46.623524,7.384205,820.0
BOU,268,Bouveret,46.393448,6.857006,374.0
BRL,852,La Brévine,46.980133,6.60743,1040.0
BUF,606,Buffalora,46.648411,10.2672,1971.0
BUS,67,Buchs / Aarau,47.384338,8.079461,387.0
CDF,65,La Chaux-de-Fonds,47.082943,6.792247,1017.0
CDM,521,Col des Mosses,46.39156,7.098292,1412.0
CEV,843,Cevio,46.320488,8.603161,417.0
CGI,76,Nyon / Changins,46.397488,6.233025,430.0
CHA,42,Chasseral,47.131733,7.05433,1594.0
CHB,309,Les Charbonnières,46.670151,6.312428,1045.0
CHD,13,Château-d'Oex,46.479763,7.13965,1029.0
CHM,15,Chaumont,47.049168,6.978825,1136.0
CHU,27,Chur,46.870399,9.530583,556.0
CHZ,162,Cham,47.188278,8.464642,443.0
CIM,87,Cimetta,46.200432,8.791597,1661.0
CMA,847,Crap Masegn,46.842487,9.180345,2468.0
COM,92,Acquarossa / Comprovasco,46.459473,8.935511,575.0
COV,74,Piz Corvatsch,46.418049,9.821381,3294.0
COY,182,Courtelary,47.180862,7.090633,695.0
CRM,844,Cressier,47.047607,7.059111,431.0
DAV,26,Davos,46.812954,9.843492,1594.0
DEM,6,Delémont,47.351707,7.349561,439.0
DIA,856,Les Diablerets,46.326752,7.203781,2964.0
DIS,54,Disentis,46.706524,8.853467,1197.0
DOL,31,La Dôle,46.42477,6.099497,1669.0
EBK,7,Ebnat-Kappel,47.273338,9.108489,623.0
EGH,867,Eggishorn,46.426529,8.092728,2893.0
EGO,854,Egolzwil,47.17942,8.004764,521.0
EIN,9,Einsiedeln,47.132988,8.756561,910.0
ELM,8,Elm,46.923744,9.17535,958.0
ENG,69,Engelberg,46.821609,8.41045,1035.0
EVI,865,Evionnaz,46.182953,7.026747,482.0
EVO,88,Evolène / Villa,46.11124,7.510117,1829.0
FAH,39,Fahy,47.423813,6.941128,596.0
FLU,711,"Flühli, LU",46.889465,8.020284,940.0
FRE,77,Bullet / La Frétaz,46.840622,6.576305,1205.0
FRU,294,Frutigen,46.599003,7.657542,756.0
GEN,848,Monte Generoso,45.927593,9.017875,1600.0
GES,952,Gersau,46.996078,8.523386,520.0
GIH,915,Giswil,46.849445,8.190225,471.0
GLA,57,Glarus,47.034645,9.066947,517.0
GOE,80,Gösgen,47.363106,7.973697,380.0
GOR,866,Gornergrat,45.983643,7.785944,3129.0
GOS,396,Göschenen,46.692677,8.595364,950.0
GRA,14,Fribourg / Grangeneuve,46.7714,7.113708,651.0
GRE,774,Grenchen,47.179089,7.415108,428.0
GRH,91,Grimsel Hospiz,46.57169,8.333256,1980.0
GRO,22,Grono,46.254986,9.163728,324.0
GSB,62,Col du Grand St-Bernard,45.868893,7.170714,2471.0
GUE,60,"Gütsch, Andermatt",46.652477,8.615531,2286.0
GUT,79,Güttingen,47.601707,9.279408,440.0
GVE,58,Genève / Cointrin,46.248528,6.122258,416.0
HAI,3,Salen-Reutenen,47.651234,9.023911,718.0
HLL,4,Hallau,47.697277,8.470472,419.0
HOE,94,Hörnli,47.370823,8.941617,1132.0
INT,53,Interlaken,46.672024,7.870409,578.0
JUN,33,Jungfraujoch,46.547527,7.985097,3571.0
KLO,59,Zürich / Kloten,47.479584,8.535903,426.0
KOP,18,Koppigen,47.118843,7.605492,484.0
LAE,93,Lägern,47.481934,8.397223,845.0
LAG,17,Langnau i.E.,46.939621,7.806442,745.0
LAT,468,Bergün / Latsch,46.627277,9.753706,1408.0
LEI,89,Leibstadt,47.59726,8.18827,341.0
LUG,47,Lugano,46.003834,8.960116,273.0
LUZ,68,Luzern,47.036415,8.300961,454.0
MAG,50,Magadino / Cadenazzo,46.160019,8.933608,203.0
MAH,308,Mathod,46.736977,6.567983,437.0
MAR,143,Les Marécottes,46.118904,7.016597,990.0
MAS,748,Marsens,46.656521,7.069716,715.0
MER,11,Meiringen,46.732166,8.169261,589.0
MLS,38,Le Moléson,46.546173,7.017769,1974.0
MOA,842,Mosen,47.243832,8.23282,452.0
MOB,506,"Montagnier, Bagnes",46.071018,7.225272,839.0
MOE,301,Möhlin,47.572201,7.877911,344.0
MTE,317,Mottec,46.147953,7.62402,1580.0
MTR,414,Matro,46.410103,8.924742,2171.0
MUB,86,Mühleberg,46.973244,7.278164,480.0
MVE,40,Montana,46.298771,7.460761,1422.0
NAP,48,Napf,47.004646,7.940053,1404.0
NAS,863,Naluns / Schlivera,46.817165,10.2614,2380.0
NEU,51,Neuchâtel,46.999996,6.953105,484.0
OBR,1435,Oberriet / Kriessern,47.37661,9.612705,409.0
ORO,850,Oron,46.572266,6.858239,827.0
OTL,84,Locarno / Monti,46.172218,8.787486,367.0
PAY,32,Payerne,46.811577,6.942409,489.0
PFA,668,"Pfäffikon, ZH",47.376816,8.754864,537.0
PIL,43,Pilatus,46.97887,8.252322,2105.0
PIO,46,Piotta,46.514774,8.688111,989.0
PLF,95,Plaffeien,46.747696,7.26625,1042.0
PMA,862,Piz Martegnas,46.577179,9.529545,2668.0
PUY,61,Pully,46.51228,6.667461,455.0
RAG,2,Bad Ragaz,47.016579,9.502553,496.0
REH,83,Zürich / Affoltern,47.427666,8.517889,443.0
ROB,28,Poschiavo / Robbia,46.347195,10.062963,1078.0
ROE,96,Robièi,46.443066,8.513389,1898.0
RUE,66,Rünenberg,47.434555,7.879361,611.0
SAE,35,Säntis,47.249439,9.343358,2502.0
SAG,152,"Sattel, SZ",47.081066,8.636967,790.0
SAM,29,Samedan,46.526245,9.879408,1709.0
SBE,72,S. Bernardino,46.462666,9.186803,1630.0
SBO,52,Stabio,45.843407,8.932408,351.0
SCU,30,Scuol,46.793339,10.283167,1298.0
SHA,70,Schaffhausen,47.6898,8.620064,439.0
SIA,24,Segl-Maria,46.432331,9.762325,1804.0
SIM,571,Simplon-Dorf,46.196823,8.056336,1465.0
SIO,49,Sion,46.217693,7.316614,479.0
SMA,71,Zürich / Fluntern,47.380966,8.5673,604.0
SMM,25,"Sta. Maria, Val Müstair",46.6022,10.426303,1386.0
SPF,859,Schüpfheim,46.947033,8.012442,744.0
SRS,1024,Schiers,46.975506,9.668075,626.0
STG,56,St. Gallen,47.425457,9.398461,776.0
TAE,82,Aadorf / Tänikon,47.479855,8.904878,538.0
