nat_abbr,station_id,lat,lon,elevation,grid_index,grid_lat,grid_lon,grid_elevation,distance_m,elevation_diff
ABO,63,46.491734,7.560692,1322.0,773876,46.490145163923906,7.564938033689938,1306.4,370.0,15.6
AIG,37,46.326641,6.924414,381.0,740101,46.330631560571234,6.921714302641066,379.9,489.8,1.1
ALT,44,46.887043,8.621805,438.0,793034,46.88613834462342,8.619441093547207,439.7,205.9,-1.7
AND,405,46.610111,9.431925,987.0,787657,46.60841248953899,9.427076396740974,1013.0,415.7,-26.0
ANT,10,46.630856,8.580525,1435.0,766246,46.6335681210284,8.582263420720729,1474.2,329.5,-39.2
ARH,359,47.483665,9.566803,398.0,795860,47.486252600954444,9.566245440341952,393.1,290.8,4.9
ARO,1,46.792599,9.67903,1878.0,577274,46.79197550129028,9.683782117334152,1843.2,368.4,34.8
ATT,864,46.09911,7.268653,2735.0,779598,46.10059109273784,7.266229538091515,2547.9,249.1,187.1
BAS,75,47.541065,7.583556,316.0,606594,47.540384451024,7.587415706553405,307.5,299.4,8.5
BEH,23,46.409157,10.019567,2260.0,574692,46.40718521309781,10.017527561612955,2249.5,269.3,10.5
BER,78,46.990746,7.463997,553.0,771886,46.99029143187632,7.467658721786388,552.5,282.3,0.5
BEZ,85,47.557232,8.23327,326.0,785372,47.55829307016164,8.229420769785701,349.7,312.0,-23.7
BIA,415,46.336052,8.978197,278.0,765848,46.33399554946565,8.983816797134494,577.5,488.3,-299.5
BIE,849,46.524895,6.342372,684.0,743043,46.5275002407006,6.343057859494413,676.5,294.4,7.5
BIN,131,46.367661,8.192306,1479.0,775366,46.36816670938367,8.187671951993694,1626.0,360.0,-147.0
BIV,409,46.462452,9.668609,1856.0,574029,46.462407559254544,9.669546117762016,1941.7,71.9,-85.7
BIZ,666,47.508801,9.266891,507.0,796476,47.507300315864775,9.270628049971066,497.4,326.5,9.6
BLA,20,46.42226,7.825914,1548.0,776062,46.422697464133506,7.832399548484769,1692.2,499.5,-144.2
BOL,731,46.623524,7.384205,820.0,774092,46.62230784234119,7.391016565192705,984.0,537.5,-164.0
BOU,268,46.393448,6.857006,374.0,740221,46.392919906868066,6.858545530232592,372.5,131.9,1.5
BRL,852,46.980133,6.60743,1040.0,747570,46.982122317244844,6.613660219534495,1056.2,521.8,-16.2
BUF,606,46.648411,10.2672,1971.0,585269,46.64530819867351,10.2625819678482,2048.0,493.3,-77.0
BUS,67,47.384338,8.079461,387.0,783823,47.384051274311915,8.078708747471156,392.2,65.0,-5.2
CDF,65,47.082943,6.792247,1017.0,747443,47.08638455441399,6.796830505862416,1040.5,516.6,-23.5
CDM,521,46.39156,7.098292,1412.0,778934,46.39403334058748,7.096315262287122,1464.6,314.0,-52.6
CEV,843,46.320488,8.603161,417.0,767861,46.322853867020065,8.598515726023058,692.0,443.2,-275.0
CGI,76,46.397488,6.233025,430.0,743860,46.400899956376485,6.233204233399189,436.1,379.6,-6.1
CHA,42,47.131733,7.05433,1594.0,748135,47.13340149896985,7.05108718550054,1488.7,307.6,105.3
CHB,309,46.670151,6.312428,1045.0,743280,46.672027704742334,6.308945955580674,1086.9,337.8,-41.9
CHD,13,46.479763,7.13965,1029.0,778779,46.47607587532103,7.141392870927886,988.1,431.2,40.9
CHM,15,47.049168,6.978825,1136.0,746767,47.049750170609464,6.976742599727384,1062.4,170.5,73.6
CHU,27,46.870399,9.530583,556.0,577363,46.86617177700274,9.534257921040647,587.1,546.8,-31.1
CHZ,162,47.188278,8.464642,443.0,793104,47.18306902023898,8.469284706064714,422.0,677.2,21.0
CIM,87,46.200432,8.791597,1661.0,766024,46.203516479118186,8.787852482403032,1549.1,448.0,111.9
CMA,847,46.842487,9.180345,2468.0,788801,46.842351579712705,9.183176894346852,2364.4,215.9,103.6
COM,92,46.459473,8.935511,575.0,786663,46.46011805176479,8.931958226746216,665.2,281.4,-90.2
COV,74,46.418049,9.821381,3294.0,576456,46.414068603366644,9.823174214890264,3173.1,463.5,120.9
COY,182,47.180862,7.090633,695.0,748273,47.18130264962791,7.096147841459533,722.0,419.7,-27.0
CRM,844,47.047607,7.059111,431.0,748054,47.04540708678451,7.05532645047536,430.7,376.9,0.3
DAV,26,46.812954,9.843492,1594.0,577083,46.8116868187401,9.841088590752099,1615.1,230.9,-21.1
DEM,6,47.351707,7.349561,439.0,781539,47.34991809280667,7.348268586266579,444.4,221.5,-5.4
DIA,856,46.326752,7.203781,2964.0,779118,46.325379716261615,7.20783181048339,2751.2,346.5,212.8
DIS,54,46.706524,8.853467,1197.0,786121,46.704069782042936,8.859111322726257,1126.5,509.6,70.5
DOL,31,46.42477,6.099497,1669.0,744217,46.423782219155704,6.095011355465925,1551.7,360.9,117.3
EBK,7,47.273338,9.108489,623.0,790152,47.27304318031849,9.108005455330305,628.7,49.0,-5.7
EGH,867,46.426529,8.092728,2893.0,775402,46.42435079430088,8.08865550869455,2635.1,395.1,257.9
EGO,854,47.17942,8.004764,521.0,784345,47.177961747535136,8.00286212626511,507.4,216.7,13.6
EIN,9,47.132988,8.756561,910.0,792471,47.12999930679478,8.76148935807686,933.4,499.4,-23.4
ELM,8,46.923744,9.17535,958.0,788901,46.926500446510026,9.177569264031058,1063.1,349.8,-105.1
ENG,69,46.821609,8.41045,1035.0,785671,46.81664653842555,8.41587542361346,1050.6,689.1,-15.6
EVI,865,46.182953,7.026747,482.0,779457,46.18337440136246,7.020621949055582,522.1,473.9,-40.1
EVO,88,46.11124,7.510117,1829.0,780307,46.113027053651344,7.504256693782216,1695.1,493.5,133.9
FAH,39,47.423813,6.941128,596.0,595337,47.42361781087597,6.943674287216418,592.0,192.8,4.0
FLU,711,46.889465,8.020284,940.0,769347,46.889975902731436,8.023503702750649,1008.7,251.2,-68.7
FRE,77,46.840622,6.576305,1205.0,745686,46.83846482527799,6.578318693759952,1097.7,284.6,107.3
FRU,294,46.599003,7.657542,756.0,774306,46.59839602335369,7.657338950887034,782.0,69.3,-26.0
GEN,848,45.927593,9.017875,1600.0,764366,45.93058781025926,9.021229892444461,1467.5,422.2,132.5
GES,952,46.996078,8.523386,520.0,793462,46.99564170250294,8.530216098383232,601.6,520.3,-81.6
GIH,915,46.849445,8.190225,471.0,769253,46.850912346401145,8.187545620726153,475.0,261.0,-4.0
GLA,57,47.034645,9.066947,517.0,790658,47.03327336201944,9.070589604836298,518.4,315.4,-1.4
GOE,80,47.363106,7.973697,380.0,783882,47.365310756483545,7.968093701458374,388.5,488.1,-8.5
GOR,866,45.983643,7.785944,3129.0,778034,45.98200136286274,7.789102315475827,2884.1,304.8,244.9
GOS,396,46.692677,8.595364,950.0,786375,46.69147133268888,8.598910671305376,1152.0,301.9,-202.0
GRA,14,46.7714,7.113708,651.0,772811,46.77552846925458,7.117153965296238,623.0,528.8,28.0
GRE,774,47.179089,7.415108,428.0,770897,47.18077729837736,7.4075751606546065,425.1,599.5,2.9
GRH,91,46.57169,8.333256,1980.0,766715,46.57107289451217,8.331316001174855,1940.5,163.4,39.5
GRO,22,46.254986,9.163728,324.0,765309,46.25451418154421,9.167487140111627,471.2,293.7,-147.2
GSB,62,45.868893,7.170714,2471.0,781180,45.872892282158304,7.169082326298241,2602.1,462.3,-131.1
GUE,60,46.652477,8.615531,2286.0,785878,46.65554794022231,8.610116745410322,2179.5,536.1,106.5
GUT,79,47.601707,9.279408,440.0,796595,47.595087765588545,9.284490697229664,466.4,828.8,-26.4
GVE,58,46.248528,6.122258,416.0,736591,46.2480709429611,6.120270825661733,416.5,161.0,-0.5
HAI,3,47.651234,9.023911,718.0,794685,47.65016374131718,9.019178051072466,708.6,374.0,9.4
HLL,4,47.697277,8.470472,419.0,610392,47.69283735037515,8.476314967381041,418.4,659.5,0.6
